Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
6,6548331,17,14,9040,6501,1400,0,531.7647059,597.5635457,1400,0,464.3571429,629.8926169,2373.276488,4.734030702,218277.7,442929.7434,2137768,0,6248578,390536.125,564765.4879,2137768,0,4370495,336191.9231,335650.3879,837528,0,0,0,0,0,352,340,2.596081353,2.137949349,0,1400,485.65625,599.7206667,359664.878,0,1,0,0,0,0,0,0,0,501.3225806,531.7647059,464.3571429,0,0,0,0,0,0,17,9040,14,6501,-1,2050,11,0,0,0,0,0,0,0,0,0,No Label
0,119820258,958,960,0,0,0,0,0,0,0,0,0,0,0,16.00730988,62504.04695,91559.24738,296110,0,1.20E+08,125177.5152,98306.02919,299279,61,1.20E+08,124942.9176,98246.76195,300204,0,0,0,0,0,0,0,7.995309107,8.012000775,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,958,0,960,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
6,19101390,27,21,2616,1857,513,0,96.88888889,161.8506751,422,0,88.42857143,110.3664675,234.1714399,2.512906129,406412.5532,1610686.218,1.09E+07,0,1.89E+07,725772.6538,2195915.139,1.12E+07,68,8202845,410142.25,782511.8215,2919558,0,0,0,0,0,552,444,1.413509697,1.099396431,0,513,91.28571429,139.4971625,19459.45833,0,1,0,0,0,0,0,0,0,93.1875,96.88888889,88.42857143,0,0,0,0,0,0,27,2616,21,1857,-1,265,17,0,0,0,0,0,0,0,0,0,No Label
6,81440888,5,4,116,199,58,0,23.2,31.76790834,58,47,49.75,5.5,3.867836019,0.110509601,1.02E+07,1.84E+07,4.00E+07,39960,8.07E+07,2.02E+07,2.28E+07,4.00E+07,225343,8.14E+07,2.71E+07,2.29E+07,4.05E+07,692088,0,1,0,0,100,80,0.061394223,0.049115378,0,58,37.3,26.18332803,685.5666667,0,0,0,1,1,0,0,0,0,41.44444444,23.2,49.75,0,0,0,0,0,0,5,116,4,199,-1,2048,2,0,646210.5,121545.2917,732156,560265,4.00E+07,432.7493501,4.00E+07,4.00E+07,No Label
6,119974045,703,1028,445,1092788,445,0,0.633001422,16.78349287,1388,0,1063.023346,474.5615631,9112.245903,14.42812068,69349.15896,96309.06055,1027965,0,1.20E+08,170903.0484,101863.6641,1028205,12406,1.20E+08,116781.0487,115267.6593,1028171,0,0,0,0,0,24224,32896,5.859600716,8.568519966,0,1388,631.8735566,637.275803,406120.4491,0,0,0,0,1,0,0,0,1,632.2385904,0.633001422,1063.023346,0,0,0,0,0,0,703,445,1028,1092788,-1,137,1,0,0,0,0,0,0,0,0,0,No Label
6,76171697,1,3,1,1,1,1,1,0,1,0,0.333333333,0.577350269,0.026256472,0.052512943,2.54E+07,4.35E+07,7.56E+07,169371,0,0,0,0,0,7.62E+07,3.81E+07,5.33E+07,7.58E+07,401545,0,0,0,0,20,84,0.013128236,0.039384707,0,1,0.6,0.547722558,0.3,0,0,0,0,1,0,0,0,3,0.75,1,0.333333333,0,0,0,0,0,0,1,1,3,1,-1,222,1,0,401545,0,401545,401545,7.56E+07,0,7.56E+07,7.56E+07,No Label
6,87595564,6,7,6594,362,1400,1,1099,562.0042704,361,0,51.71428571,136.3826899,79.41041398,0.148409342,7299630.333,1.58E+07,4.50E+07,0,4.94E+07,9889163,2.01E+07,4.57E+07,0,8.76E+07,1.46E+07,2.08E+07,4.58E+07,707123,0,0,0,0,120,188,0.068496619,0.079912723,0,1400,496.9285714,650.3987492,423018.533,0,0,0,0,1,0,0,0,1,535.1538462,1099,51.71428571,0,0,0,0,0,0,6,6594,7,362,-1,2050,6,0,2609581.5,2606307.207,4452519,766644,4.08E+07,5977409.088,4.50E+07,3.65E+07,No Label
6,19084503,27,26,1903,1781,441,0,70.48148148,112.9851489,422,0,68.5,99.61937563,193.0362032,2.777122359,367009.6731,1925279.999,1.39E+07,0,1.89E+07,727833.5769,2753431.304,1.42E+07,100,5148206,205928.24,395003.0707,1822107,0,0,0,0,0,540,544,1.414760447,1.362361912,0,441,68.22222222,105.0427885,11033.98742,0,1,0,0,0,0,0,0,0,69.50943396,70.48148148,68.5,0,0,0,0,0,0,27,1903,26,1781,-1,265,16,0,0,0,0,0,0,0,0,0,No Label
6,117474922,1339,1078,1872551,356,1400,0,1398.469754,40.61325051,356,0,0.330241187,10.84277929,15943.03676,20.574604,48623.72599,97393.62687,2098173,0,1.17E+08,87798.79148,124811.4331,2098280,0,1.17E+08,109038.7419,123445.6929,2098903,0,0,0,0,0,26780,34196,11.39817739,9.176426608,0,1400,774.5686518,695.8546705,484213.7224,0,0,0,0,1,0,0,0,0,774.8891187,1398.469754,0.330241187,0,0,0,0,0,0,1339,1872551,1078,356,-1,16384,1338,0,0,0,0,0,0,0,0,0,No Label
6,485329,0,2,0,0,0,0,0,0,0,0,0,0,0,4.120915915,485329,0,485329,485329,0,0,0,0,0,485329,485329,0,485329,485329,0,0,0,0,0,40,0,4.120915915,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,16384,0,0,0,0,0,0,0,0,0,0,No Label
